Date,Open,High,Low,Close,Adj Close,Volume,Days
2018-02-21,15.63,15.81,15.52,15.54,15.54,10420800,0
2018-02-22,15.63,15.74,15.6,15.66,15.66,5645700,1
2018-02-23,15.62,15.63,15.56,15.59,15.59,4306900,2
2018-02-26,15.67,15.69,15.55,15.68,15.68,4902400,3
2018-02-27,15.64,15.65,15.39,15.48,15.48,7695400,4
2018-02-28,15.51,15.57,15.44,15.46,15.46,4056400,5
2018-03-01,15.33,15.61,15.23,15.54,15.54,10568600,6
2018-03-02,15.61,15.63,15.49,15.56,15.56,6299000,7
2018-03-05,15.49,15.51,15.42,15.49,15.49,4056400,8
2018-03-06,15.69,15.9,15.68,15.78,15.78,11502800,9
2018-03-07,15.65,15.65,15.49,15.53,15.53,8255500,10
2018-03-08,15.55,15.57,15.49,15.55,15.55,6899900,11
2018-03-09,15.5,15.74,15.47,15.63,15.63,7958800,12
2018-03-12,15.54,15.62,15.51,15.61,15.61,4990100,13
2018-03-13,15.63,15.68,15.53,15.61,15.61,6471100,14
2018-03-14,15.61,15.63,15.56,15.61,15.61,4070000,15
2018-03-15,15.52,15.52,15.43,15.45,15.45,5760300,16
2018-03-16,15.46,15.48,15.28,15.39,15.39,6681600,17
2018-03-19,15.36,15.42,15.31,15.39,15.39,4884300,18
2018-03-20,15.33,15.33,15.19,15.28,15.28,7426400,19
2018-03-21,15.51,15.71,15.42,15.65,15.65,12896700,20
2018-03-22,15.52,15.54,15.4,15.44,15.44,10591500,21
2018-03-23,15.68,15.71,15.58,15.58,15.58,9556200,22
2018-03-26,15.73,15.82,15.71,15.72,15.72,8509300,23
2018-03-27,15.62,15.63,15.52,15.57,15.57,9363400,24
2018-03-28,15.43,15.43,15.32,15.36,15.36,10915100,25
2018-03-29,15.31,15.43,15.3,15.41,15.41,6888300,26
2018-04-02,15.62,15.72,15.58,15.65,15.65,9473100,27
2018-04-03,15.51,15.53,15.41,15.46,15.46,5832800,28
2018-04-04,15.38,15.45,15.32,15.38,15.38,8229100,29
2018-04-05,15.28,15.48,15.27,15.45,15.45,6121500,30
2018-04-06,15.52,15.55,15.39,15.43,15.43,6906700,31
2018-04-09,15.47,15.6,15.43,15.56,15.56,6558300,32
2018-04-10,15.66,15.69,15.57,15.62,15.62,7250900,33
2018-04-11,15.67,15.9,15.65,15.69,15.69,13825000,34
2018-04-12,15.58,15.59,15.5,15.52,15.52,7487100,35
2018-04-13,15.64,15.73,15.64,15.68,15.68,6159000,36
2018-04-16,15.77,15.81,15.69,15.72,15.72,5231200,37
2018-04-17,15.72,15.83,15.69,15.8,15.8,6926400,38
2018-04-18,16.15,16.26,16.09,16.18,16.18,19800200,39
2018-04-19,16.27,16.35,16.1,16.26,16.26,17017000,40
2018-04-20,16.15,16.219999,16.110001,16.129999,16.129999,8050500,41
2018-04-23,15.79,15.81,15.63,15.67,15.67,15510900,42
