Date,Open,High,Low,Close,Adj Close,Volume,Days
2022-02-10,13.74,14,13.59,13.89,13.89,6474700,0
2022-02-11,13.62,14.14,13.57,13.95,13.95,16822900,1
2022-02-14,14.28,14.73,14.21,14.55,14.55,7829900,2
2022-02-15,15.02,15.2,14.65,15.12,15.12,8130300,3
2022-02-16,15.51,16.17,15.43,15.82,15.82,11166400,4
2022-02-17,15.82,16.1,15.3,15.67,15.67,5711400,5
2022-02-18,16.08,16.09,15.32,15.41,15.41,10268400,6
2022-02-22,15.99,16.17,15.53,15.67,15.67,8251100,7
2022-02-23,16.01,16.5,15.97,16.120001,16.120001,8707400,8
2022-02-24,16.98,17.23,16.18,16.290001,16.290001,13132500,9
2022-02-25,15.95,16.040001,15.55,15.82,15.82,7356400,10
2022-02-28,15.75,15.85,15.38,15.46,15.46,6295400,11
2022-03-01,15.71,16.299999,15.66,16.110001,16.110001,7289200,12
2022-03-02,16.83,17.290001,16.379999,17.02,17.02,9644800,13
2022-03-03,16.48,16.99,16.290001,16.639999,16.639999,8992200,14
2022-03-04,17.01,17.76,16.99,17.34,17.34,9685000,15
2022-03-07,17.469999,17.549999,16.83,16.950001,16.950001,8366400,16
2022-03-08,16.09,16.549999,15.88,16.07,16.07,11524700,17
2022-03-09,16.01,16.15,15.82,15.91,15.91,8281300,18
2022-03-10,16.1,16.450001,16.02,16.32,16.32,3917900,19
2022-03-11,16.68,16.889999,16.459999,16.790001,16.790001,4047800,20
2022-03-14,16.469999,16.540001,16.059999,16.469999,16.469999,4484500,21
2022-03-15,15.81,16.299999,15.69,16.209999,16.209999,3485600,22
2022-03-16,16.59,16.790001,16.32,16.690001,16.690001,4562300,23
2022-03-17,17.1,17.559999,17.07,17.370001,17.370001,5633400,24
2022-03-18,17.360001,17.360001,17.02,17.219999,17.219999,4318300,25
2022-03-21,16.83,17.48,16.719999,17.440001,17.440001,3100900,26
2022-03-22,17.98,18.299999,17.700001,18.09,18.09,5260800,27
2022-03-23,18.49,18.629999,17.950001,18.030001,18.030001,5144700,28
2022-03-24,18.219999,19.219999,17.85,18.969999,18.969999,8103300,29
2022-03-25,19.540001,19.610001,19.110001,19.49,19.49,7885100,30
2022-03-28,19.190001,19.549999,19.16,19.219999,19.219999,5065200,31
2022-03-29,19.15,19.17,18.57,18.6,18.6,5945500,32
2022-03-30,18.99,19.620001,18.959999,19.379999,19.379999,6668100,33
2022-03-31,19.67,20.35,19.610001,19.719999,19.719999,10021100,34
2022-04-01,19.700001,20.17,19.549999,19.92,19.92,5626400,35
2022-04-04,20.09,20.43,19.82,20.049999,20.049999,5924500,36
2022-04-05,20.75,21.629999,20.74,21.059999,21.059999,11207600,37
2022-04-06,21.85,22.190001,20.940001,21.23,21.23,15792900,38
2022-04-07,21.25,22.469999,20.940001,22.370001,22.370001,16887100,39
2022-04-08,22.440001,22.540001,21.83,22.09,22.09,8525200,40
2022-04-11,22.959999,23.34,22.68,23.299999,23.299999,8740900,41
2022-04-12,23.43,24.23,23.040001,23.4,23.4,13249100,42
2022-04-13,23.700001,24.74,23.66,24.620001,24.620001,12567800,43
2022-04-14,24.48,25.639999,24.27,25.6,25.6,13428300,44
2022-04-18,26.389999,28.15,26.389999,27.129999,27.129999,20214600,45
2022-04-19,25.08,25.299999,24.219999,24.99,24.99,15925200,46
2022-04-20,24.790001,24.9,23.68,24,24,10812100,47
2022-04-21,24.68,24.870001,23.469999,24.200001,24.200001,9843300,48
2022-04-22,23.879999,24.15,22.549999,22.700001,22.700001,8554100,49
2022-04-25,22.73,24.42,22.700001,24.219999,24.219999,10221100,50
2022-04-26,24.129999,24.540001,23.33,23.82,23.82,12981100,51
2022-04-27,24.540001,25.809999,24.34,25.190001,25.190001,11582800,52
2022-04-28,24.57,24.68,23.629999,23.85,23.85,7428600,53
2022-04-29,24.370001,25.18,24.09,25,25,6606300,54
2022-05-02,25.41,26.07,25.290001,26,26,4978400,55
