Date,Day of the Week,Amount,Description,Category,Method of Payment
1/20/2023,Friday,15,Sky Grill,Food,Debit
1/20/2023,Friday,26.07,Doordash,Food,Debit
1/21/2023,Saturday,106.66,Groceries,Food,Debit
1/21/2023,Saturday,11.4,Starbucks,Beverage,Debit
1/22/2023,Sunday,7.76,CVS,Food,Debit
1/22/2023,Sunday,23.88,Beauty Supply,Hair Products,Debit
1/22/2023,Sunday,8.28,Safeway,Food,Debit
1/23/20223,Monday  ,8.25,Sky Grill,Food,Debit
1/23/2023,Monday  ,5,BART,Transportation,Debit
1/24/2023,Tuesday,8.25,Sky Grill,Food,Debit
1/25/2023,Wednesday,6.93,Boba Guys,Beverage,Debit
1/25/2023,Wednesday,36.49,Doordash,Food,Debit
1/26/2023,Thursday,3,Book Store,Food,Debit
1/26/2023,Thursday,10,Sky Grill,Food,Debit
1/27/2023,Friday,5,Book Store,Food,Debit
1/27/2023,Friday,11.98,VengaEmpanada,Food,Debit
1/28/2023,Saturday,20.38,Jamba Juice,Food,Debit
1/28/2023,Saturday,70,Beauty Supply,Hair Products,Cash
1/28/2023,Saturday,4.65,Cinemark,Food,Debit
1/29/2023,Sunday,0,,,
1/30/2023,Monday  ,5,Book Store,Beverage,Debit
1/31/2023,Tuesday,5,Book Store,Beverage,Debit
1/31/2023,Tuesday,3.65,BART,Transportation,Debit
